State,Location,hour,value,date
PERLIS,Kangar,10:00AM,61**,2023-09-13
KEDAH,Langkawi,10:00AM,54**,2023-09-13
KEDAH,Alor Setar,10:00AM,59**,2023-09-13
KEDAH,Sungai Petani,10:00AM,58**,2023-09-13
KEDAH,Kulim Hi-Tech,10:00AM,53**,2023-09-13
PULAU PINANG,Seberang Jaya,10:00AM,63**,2023-09-13
PULAU PINANG,Seberang Perai,10:00AM,62**,2023-09-13
PULAU PINANG,Minden,10:00AM,61**,2023-09-13
PULAU PINANG,Balik Pulau,10:00AM,58**,2023-09-13
PERAK,Taiping,10:00AM,60**,2023-09-13
PERAK,Tasek Ipoh,10:00AM,58**,2023-09-13
PERAK,Pegoh Ipoh,10:00AM,53**,2023-09-13
PERAK,Seri Manjung,10:00AM,61**,2023-09-13
PERAK,Tanjung Malim,10:00AM,54**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,10:00AM,64**,2023-09-13
W.P. KUALA LUMPUR,Cheras,10:00AM,93**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,10:00AM,91**,2023-09-13
SELANGOR,Kuala Selangor,10:00AM,79**,2023-09-13
SELANGOR,Petaling Jaya,10:00AM,69**,2023-09-13
SELANGOR,Shah Alam,10:00AM,82**,2023-09-13
SELANGOR,Klang,10:00AM,76**,2023-09-13
SELANGOR,Banting,10:00AM,71**,2023-09-13
NEGERI SEMBILAN,Nilai,10:00AM,79**,2023-09-13
NEGERI SEMBILAN,Seremban,10:00AM,75**,2023-09-13
NEGERI SEMBILAN,Port Dickson,10:00AM,68**,2023-09-13
MELAKA,Alor Gajah,10:00AM,66**,2023-09-13
MELAKA,Bukit Rambai,10:00AM,76**,2023-09-13
MELAKA,Bandaraya Melaka,10:00AM,71**,2023-09-13
JOHOR,Segamat,10:00AM,69**,2023-09-13
JOHOR,Batu Pahat,10:00AM,63**,2023-09-13
JOHOR,Kluang,10:00AM,68**,2023-09-13
JOHOR,Larkin,10:00AM,85**,2023-09-13
JOHOR,Pasir Gudang,10:00AM,92**,2023-09-13
JOHOR,Pengerang,10:00AM,65**,2023-09-13
JOHOR,Kota Tinggi,10:00AM,69**,2023-09-13
JOHOR,Tangkak,10:00AM,66**,2023-09-13
PAHANG,Rompin,10:00AM,51**,2023-09-13
PAHANG,Temerloh,10:00AM,64**,2023-09-13
PAHANG,Jerantut,10:00AM,56**,2023-09-13
PAHANG,Indera Mahkota Kuantan,10:00AM,72**,2023-09-13
PAHANG,Balok Baru Kuantan,10:00AM,64**,2023-09-13
TERENGGANU,Kemaman,10:00AM,62**,2023-09-13
TERENGGANU,Paka,10:00AM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,10:00AM,56**,2023-09-13
TERENGGANU,Besut,10:00AM,34**,2023-09-13
KELANTAN,Tanah Merah,10:00AM,28**,2023-09-13
KELANTAN,Kota Bharu,10:00AM,48**,2023-09-13
SABAH,Tawau,10:00AM,35**,2023-09-13
SABAH,Sandakan,10:00AM,38**,2023-09-13
SABAH,Kota Kinabalu,10:00AM,31**,2023-09-13
SABAH,Kimanis,10:00AM,11**,2023-09-13
SABAH,Keningau,10:00AM,42**,2023-09-13
W.P. LABUAN,Labuan,10:00AM,29**,2023-09-13
SARAWAK,Limbang,10:00AM,30**,2023-09-13
SARAWAK,ILP Miri,10:00AM,28**,2023-09-13
SARAWAK,Miri,10:00AM,24**,2023-09-13
SARAWAK,Samalaju,10:00AM,56**,2023-09-13
SARAWAK,Bintulu,10:00AM,55**,2023-09-13
SARAWAK,Mukah,10:00AM,48**,2023-09-13
SARAWAK,Kapit,10:00AM,43**,2023-09-13
SARAWAK,Sibu,10:00AM,38**,2023-09-13
SARAWAK,Sarikei,10:00AM,35**,2023-09-13
SARAWAK,Sri Aman,10:00AM,55**,2023-09-13
SARAWAK,Samarahan,10:00AM,65**,2023-09-13
SARAWAK,Kuching,10:00AM,88**,2023-09-13
PERLIS,Kangar,11:00AM,61**,2023-09-13
KEDAH,Langkawi,11:00AM,54**,2023-09-13
KEDAH,Alor Setar,11:00AM,60**,2023-09-13
KEDAH,Sungai Petani,11:00AM,58**,2023-09-13
KEDAH,Kulim Hi-Tech,11:00AM,54**,2023-09-13
PULAU PINANG,Seberang Jaya,11:00AM,64**,2023-09-13
PULAU PINANG,Seberang Perai,11:00AM,63**,2023-09-13
PULAU PINANG,Minden,11:00AM,62**,2023-09-13
PULAU PINANG,Balik Pulau,11:00AM,59**,2023-09-13
PERAK,Taiping,11:00AM,60**,2023-09-13
PERAK,Tasek Ipoh,11:00AM,57**,2023-09-13
PERAK,Pegoh Ipoh,11:00AM,53**,2023-09-13
PERAK,Seri Manjung,11:00AM,61**,2023-09-13
PERAK,Tanjung Malim,11:00AM,55**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,11:00AM,66**,2023-09-13
W.P. KUALA LUMPUR,Cheras,11:00AM,94**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,11:00AM,92**,2023-09-13
SELANGOR,Kuala Selangor,11:00AM,78**,2023-09-13
SELANGOR,Petaling Jaya,11:00AM,69**,2023-09-13
SELANGOR,Shah Alam,11:00AM,83**,2023-09-13
SELANGOR,Klang,11:00AM,76**,2023-09-13
SELANGOR,Banting,11:00AM,72**,2023-09-13
NEGERI SEMBILAN,Nilai,11:00AM,80**,2023-09-13
NEGERI SEMBILAN,Seremban,11:00AM,76**,2023-09-13
NEGERI SEMBILAN,Port Dickson,11:00AM,70**,2023-09-13
MELAKA,Alor Gajah,11:00AM,66**,2023-09-13
MELAKA,Bukit Rambai,11:00AM,77**,2023-09-13
MELAKA,Bandaraya Melaka,11:00AM,71**,2023-09-13
JOHOR,Segamat,11:00AM,69**,2023-09-13
JOHOR,Batu Pahat,11:00AM,63**,2023-09-13
JOHOR,Kluang,11:00AM,68**,2023-09-13
JOHOR,Larkin,11:00AM,87**,2023-09-13
JOHOR,Pasir Gudang,11:00AM,91**,2023-09-13
JOHOR,Pengerang,11:00AM,64**,2023-09-13
JOHOR,Kota Tinggi,11:00AM,68**,2023-09-13
JOHOR,Tangkak,11:00AM,66**,2023-09-13
PAHANG,Rompin,11:00AM,51**,2023-09-13
PAHANG,Temerloh,11:00AM,64**,2023-09-13
PAHANG,Jerantut,11:00AM,55**,2023-09-13
PAHANG,Indera Mahkota Kuantan,11:00AM,72**,2023-09-13
PAHANG,Balok Baru Kuantan,11:00AM,65**,2023-09-13
TERENGGANU,Kemaman,11:00AM,62**,2023-09-13
TERENGGANU,Paka,11:00AM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,11:00AM,57**,2023-09-13
TERENGGANU,Besut,11:00AM,35**,2023-09-13
KELANTAN,Tanah Merah,11:00AM,29**,2023-09-13
KELANTAN,Kota Bharu,11:00AM,50**,2023-09-13
SABAH,Tawau,11:00AM,35**,2023-09-13
SABAH,Sandakan,11:00AM,38**,2023-09-13
SABAH,Kota Kinabalu,11:00AM,33**,2023-09-13
SABAH,Kimanis,11:00AM,11**,2023-09-13
SABAH,Keningau,11:00AM,42**,2023-09-13
W.P. LABUAN,Labuan,11:00AM,29**,2023-09-13
SARAWAK,Limbang,11:00AM,30**,2023-09-13
SARAWAK,ILP Miri,11:00AM,27**,2023-09-13
SARAWAK,Miri,11:00AM,25**,2023-09-13
SARAWAK,Samalaju,11:00AM,56**,2023-09-13
SARAWAK,Bintulu,11:00AM,55**,2023-09-13
SARAWAK,Mukah,11:00AM,49**,2023-09-13
SARAWAK,Kapit,11:00AM,43**,2023-09-13
SARAWAK,Sibu,11:00AM,39**,2023-09-13
SARAWAK,Sarikei,11:00AM,35**,2023-09-13
SARAWAK,Sri Aman,11:00AM,55**,2023-09-13
SARAWAK,Samarahan,11:00AM,65**,2023-09-13
SARAWAK,Kuching,11:00AM,88**,2023-09-13
PERLIS,Kangar,12:00PM,62**,2023-09-13
KEDAH,Langkawi,12:00PM,55**,2023-09-13
KEDAH,Alor Setar,12:00PM,61**,2023-09-13
KEDAH,Sungai Petani,12:00PM,59**,2023-09-13
KEDAH,Kulim Hi-Tech,12:00PM,54**,2023-09-13
PULAU PINANG,Seberang Jaya,12:00PM,65**,2023-09-13
PULAU PINANG,Seberang Perai,12:00PM,63**,2023-09-13
PULAU PINANG,Minden,12:00PM,64**,2023-09-13
PULAU PINANG,Balik Pulau,12:00PM,60**,2023-09-13
PERAK,Taiping,12:00PM,61**,2023-09-13
PERAK,Tasek Ipoh,12:00PM,57**,2023-09-13
PERAK,Pegoh Ipoh,12:00PM,52**,2023-09-13
PERAK,Seri Manjung,12:00PM,62**,2023-09-13
PERAK,Tanjung Malim,12:00PM,57**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,12:00PM,66**,2023-09-13
W.P. KUALA LUMPUR,Cheras,12:00PM,95**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,12:00PM,93**,2023-09-13
SELANGOR,Kuala Selangor,12:00PM,81**,2023-09-13
SELANGOR,Petaling Jaya,12:00PM,70**,2023-09-13
SELANGOR,Shah Alam,12:00PM,84**,2023-09-13
SELANGOR,Klang,12:00PM,76**,2023-09-13
SELANGOR,Banting,12:00PM,73**,2023-09-13
NEGERI SEMBILAN,Nilai,12:00PM,81**,2023-09-13
NEGERI SEMBILAN,Seremban,12:00PM,77**,2023-09-13
NEGERI SEMBILAN,Port Dickson,12:00PM,72**,2023-09-13
MELAKA,Alor Gajah,12:00PM,66**,2023-09-13
MELAKA,Bukit Rambai,12:00PM,77**,2023-09-13
MELAKA,Bandaraya Melaka,12:00PM,72**,2023-09-13
JOHOR,Segamat,12:00PM,69**,2023-09-13
JOHOR,Batu Pahat,12:00PM,63**,2023-09-13
JOHOR,Kluang,12:00PM,68**,2023-09-13
JOHOR,Larkin,12:00PM,88**,2023-09-13
JOHOR,Pasir Gudang,12:00PM,90**,2023-09-13
JOHOR,Pengerang,12:00PM,64**,2023-09-13
JOHOR,Kota Tinggi,12:00PM,68**,2023-09-13
JOHOR,Tangkak,12:00PM,66**,2023-09-13
PAHANG,Rompin,12:00PM,52**,2023-09-13
PAHANG,Temerloh,12:00PM,64**,2023-09-13
PAHANG,Jerantut,12:00PM,55**,2023-09-13
PAHANG,Indera Mahkota Kuantan,12:00PM,72**,2023-09-13
PAHANG,Balok Baru Kuantan,12:00PM,65**,2023-09-13
TERENGGANU,Kemaman,12:00PM,62**,2023-09-13
TERENGGANU,Paka,12:00PM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,12:00PM,57**,2023-09-13
TERENGGANU,Besut,12:00PM,36**,2023-09-13
KELANTAN,Tanah Merah,12:00PM,30**,2023-09-13
KELANTAN,Kota Bharu,12:00PM,50**,2023-09-13
SABAH,Tawau,12:00PM,36**,2023-09-13
SABAH,Sandakan,12:00PM,38**,2023-09-13
SABAH,Kota Kinabalu,12:00PM,31**,2023-09-13
SABAH,Kimanis,12:00PM,11**,2023-09-13
SABAH,Keningau,12:00PM,43**,2023-09-13
W.P. LABUAN,Labuan,12:00PM,27**,2023-09-13
SARAWAK,Limbang,12:00PM,30**,2023-09-13
SARAWAK,ILP Miri,12:00PM,28**,2023-09-13
SARAWAK,Miri,12:00PM,27**,2023-09-13
SARAWAK,Samalaju,12:00PM,55**,2023-09-13
SARAWAK,Bintulu,12:00PM,55**,2023-09-13
SARAWAK,Mukah,12:00PM,48**,2023-09-13
SARAWAK,Kapit,12:00PM,43**,2023-09-13
SARAWAK,Sibu,12:00PM,40**,2023-09-13
SARAWAK,Sarikei,12:00PM,34**,2023-09-13
SARAWAK,Sri Aman,12:00PM,56**,2023-09-13
SARAWAK,Samarahan,12:00PM,65**,2023-09-13
SARAWAK,Kuching,12:00PM,88**,2023-09-13
PERLIS,Kangar,1:00PM,63**,2023-09-13
KEDAH,Langkawi,1:00PM,55**,2023-09-13
KEDAH,Alor Setar,1:00PM,61**,2023-09-13
KEDAH,Sungai Petani,1:00PM,59**,2023-09-13
KEDAH,Kulim Hi-Tech,1:00PM,55**,2023-09-13
PULAU PINANG,Seberang Jaya,1:00PM,66**,2023-09-13
PULAU PINANG,Seberang Perai,1:00PM,63**,2023-09-13
PULAU PINANG,Minden,1:00PM,64**,2023-09-13
PULAU PINANG,Balik Pulau,1:00PM,60**,2023-09-13
PERAK,Taiping,1:00PM,62**,2023-09-13
PERAK,Tasek Ipoh,1:00PM,56**,2023-09-13
PERAK,Pegoh Ipoh,1:00PM,53**,2023-09-13
PERAK,Seri Manjung,1:00PM,63**,2023-09-13
PERAK,Tanjung Malim,1:00PM,58**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,1:00PM,67**,2023-09-13
W.P. KUALA LUMPUR,Cheras,1:00PM,96**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,1:00PM,92**,2023-09-13
SELANGOR,Kuala Selangor,1:00PM,83**,2023-09-13
SELANGOR,Petaling Jaya,1:00PM,71**,2023-09-13
SELANGOR,Shah Alam,1:00PM,84**,2023-09-13
SELANGOR,Klang,1:00PM,75**,2023-09-13
SELANGOR,Banting,1:00PM,74**,2023-09-13
NEGERI SEMBILAN,Nilai,1:00PM,81**,2023-09-13
NEGERI SEMBILAN,Seremban,1:00PM,76**,2023-09-13
NEGERI SEMBILAN,Port Dickson,1:00PM,73**,2023-09-13
MELAKA,Alor Gajah,1:00PM,67**,2023-09-13
MELAKA,Bukit Rambai,1:00PM,78**,2023-09-13
MELAKA,Bandaraya Melaka,1:00PM,72**,2023-09-13
JOHOR,Segamat,1:00PM,71**,2023-09-13
JOHOR,Batu Pahat,1:00PM,64**,2023-09-13
JOHOR,Kluang,1:00PM,68**,2023-09-13
JOHOR,Larkin,1:00PM,88**,2023-09-13
JOHOR,Pasir Gudang,1:00PM,90**,2023-09-13
JOHOR,Pengerang,1:00PM,63**,2023-09-13
JOHOR,Kota Tinggi,1:00PM,67**,2023-09-13
JOHOR,Tangkak,1:00PM,66**,2023-09-13
PAHANG,Rompin,1:00PM,52**,2023-09-13
PAHANG,Temerloh,1:00PM,65**,2023-09-13
PAHANG,Jerantut,1:00PM,55**,2023-09-13
PAHANG,Indera Mahkota Kuantan,1:00PM,73**,2023-09-13
PAHANG,Balok Baru Kuantan,1:00PM,65**,2023-09-13
TERENGGANU,Kemaman,1:00PM,62**,2023-09-13
TERENGGANU,Paka,1:00PM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,1:00PM,56**,2023-09-13
TERENGGANU,Besut,1:00PM,36**,2023-09-13
KELANTAN,Tanah Merah,1:00PM,31**,2023-09-13
KELANTAN,Kota Bharu,1:00PM,49**,2023-09-13
SABAH,Tawau,1:00PM,39**,2023-09-13
SABAH,Sandakan,1:00PM,37**,2023-09-13
SABAH,Kota Kinabalu,1:00PM,32**,2023-09-13
SABAH,Kimanis,1:00PM,10**,2023-09-13
SABAH,Keningau,1:00PM,42**,2023-09-13
W.P. LABUAN,Labuan,1:00PM,27**,2023-09-13
SARAWAK,Limbang,1:00PM,29**,2023-09-13
SARAWAK,ILP Miri,1:00PM,28**,2023-09-13
SARAWAK,Miri,1:00PM,31**,2023-09-13
SARAWAK,Samalaju,1:00PM,54**,2023-09-13
SARAWAK,Bintulu,1:00PM,55**,2023-09-13
SARAWAK,Mukah,1:00PM,48**,2023-09-13
SARAWAK,Kapit,1:00PM,45**,2023-09-13
SARAWAK,Sibu,1:00PM,40**,2023-09-13
SARAWAK,Sarikei,1:00PM,34**,2023-09-13
SARAWAK,Sri Aman,1:00PM,56**,2023-09-13
SARAWAK,Samarahan,1:00PM,65**,2023-09-13
SARAWAK,Kuching,1:00PM,88**,2023-09-13
PERLIS,Kangar,2:00PM,64**,2023-09-13
KEDAH,Langkawi,2:00PM,55**,2023-09-13
KEDAH,Alor Setar,2:00PM,62**,2023-09-13
KEDAH,Sungai Petani,2:00PM,60**,2023-09-13
KEDAH,Kulim Hi-Tech,2:00PM,56**,2023-09-13
PULAU PINANG,Seberang Jaya,2:00PM,67**,2023-09-13
PULAU PINANG,Seberang Perai,2:00PM,64**,2023-09-13
PULAU PINANG,Minden,2:00PM,65**,2023-09-13
PULAU PINANG,Balik Pulau,2:00PM,61**,2023-09-13
PERAK,Taiping,2:00PM,63**,2023-09-13
PERAK,Tasek Ipoh,2:00PM,57**,2023-09-13
PERAK,Pegoh Ipoh,2:00PM,52**,2023-09-13
PERAK,Seri Manjung,2:00PM,63**,2023-09-13
PERAK,Tanjung Malim,2:00PM,60**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,2:00PM,68**,2023-09-13
W.P. KUALA LUMPUR,Cheras,2:00PM,96**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,2:00PM,92**,2023-09-13
SELANGOR,Kuala Selangor,2:00PM,84**,2023-09-13
SELANGOR,Petaling Jaya,2:00PM,73**,2023-09-13
SELANGOR,Shah Alam,2:00PM,85**,2023-09-13
SELANGOR,Klang,2:00PM,76**,2023-09-13
SELANGOR,Banting,2:00PM,74**,2023-09-13
NEGERI SEMBILAN,Nilai,2:00PM,82**,2023-09-13
NEGERI SEMBILAN,Seremban,2:00PM,75**,2023-09-13
NEGERI SEMBILAN,Port Dickson,2:00PM,73**,2023-09-13
MELAKA,Alor Gajah,2:00PM,67**,2023-09-13
MELAKA,Bukit Rambai,2:00PM,78**,2023-09-13
MELAKA,Bandaraya Melaka,2:00PM,73**,2023-09-13
JOHOR,Segamat,2:00PM,72**,2023-09-13
JOHOR,Batu Pahat,2:00PM,64**,2023-09-13
JOHOR,Kluang,2:00PM,68**,2023-09-13
JOHOR,Larkin,2:00PM,88**,2023-09-13
JOHOR,Pasir Gudang,2:00PM,89**,2023-09-13
JOHOR,Pengerang,2:00PM,63**,2023-09-13
JOHOR,Kota Tinggi,2:00PM,66**,2023-09-13
JOHOR,Tangkak,2:00PM,68**,2023-09-13
PAHANG,Rompin,2:00PM,52**,2023-09-13
PAHANG,Temerloh,2:00PM,66**,2023-09-13
PAHANG,Jerantut,2:00PM,56**,2023-09-13
PAHANG,Indera Mahkota Kuantan,2:00PM,73**,2023-09-13
PAHANG,Balok Baru Kuantan,2:00PM,65**,2023-09-13
TERENGGANU,Kemaman,2:00PM,62**,2023-09-13
TERENGGANU,Paka,2:00PM,60**,2023-09-13
TERENGGANU,Kuala Terengganu,2:00PM,56**,2023-09-13
TERENGGANU,Besut,2:00PM,36**,2023-09-13
KELANTAN,Tanah Merah,2:00PM,33**,2023-09-13
KELANTAN,Kota Bharu,2:00PM,51**,2023-09-13
SABAH,Tawau,2:00PM,38**,2023-09-13
SABAH,Sandakan,2:00PM,37**,2023-09-13
SABAH,Kota Kinabalu,2:00PM,33**,2023-09-13
SABAH,Kimanis,2:00PM,10**,2023-09-13
SABAH,Keningau,2:00PM,43**,2023-09-13
W.P. LABUAN,Labuan,2:00PM,31**,2023-09-13
SARAWAK,Limbang,2:00PM,29**,2023-09-13
SARAWAK,ILP Miri,2:00PM,27**,2023-09-13
SARAWAK,Miri,2:00PM,31**,2023-09-13
SARAWAK,Samalaju,2:00PM,54**,2023-09-13
SARAWAK,Bintulu,2:00PM,55**,2023-09-13
SARAWAK,Mukah,2:00PM,48**,2023-09-13
SARAWAK,Kapit,2:00PM,44**,2023-09-13
SARAWAK,Sibu,2:00PM,40**,2023-09-13
SARAWAK,Sarikei,2:00PM,35**,2023-09-13
SARAWAK,Sri Aman,2:00PM,56**,2023-09-13
SARAWAK,Samarahan,2:00PM,65**,2023-09-13
SARAWAK,Kuching,2:00PM,88**,2023-09-13
PERLIS,Kangar,3:00PM,65**,2023-09-13
KEDAH,Langkawi,3:00PM,56**,2023-09-13
KEDAH,Alor Setar,3:00PM,63**,2023-09-13
KEDAH,Sungai Petani,3:00PM,61**,2023-09-13
KEDAH,Kulim Hi-Tech,3:00PM,56**,2023-09-13
PULAU PINANG,Seberang Jaya,3:00PM,68**,2023-09-13
PULAU PINANG,Seberang Perai,3:00PM,65**,2023-09-13
PULAU PINANG,Minden,3:00PM,67**,2023-09-13
PULAU PINANG,Balik Pulau,3:00PM,62**,2023-09-13
PERAK,Taiping,3:00PM,64**,2023-09-13
PERAK,Tasek Ipoh,3:00PM,58**,2023-09-13
PERAK,Pegoh Ipoh,3:00PM,53**,2023-09-13
PERAK,Seri Manjung,3:00PM,65**,2023-09-13
PERAK,Tanjung Malim,3:00PM,62**,2023-09-13
W.P. KUALA LUMPUR,Batu Muda,3:00PM,69**,2023-09-13
W.P. KUALA LUMPUR,Cheras,3:00PM,96**,2023-09-13
W.P. PUTRAJAYA,Putrajaya,3:00PM,92**,2023-09-13
SELANGOR,Kuala Selangor,3:00PM,84**,2023-09-13
SELANGOR,Petaling Jaya,3:00PM,73**,2023-09-13
SELANGOR,Shah Alam,3:00PM,86**,2023-09-13
SELANGOR,Klang,3:00PM,75**,2023-09-13
SELANGOR,Banting,3:00PM,75**,2023-09-13
NEGERI SEMBILAN,Nilai,3:00PM,83**,2023-09-13
NEGERI SEMBILAN,Seremban,3:00PM,76**,2023-09-13
NEGERI SEMBILAN,Port Dickson,3:00PM,74**,2023-09-13
MELAKA,Alor Gajah,3:00PM,67**,2023-09-13
MELAKA,Bukit Rambai,3:00PM,79**,2023-09-13
MELAKA,Bandaraya Melaka,3:00PM,74**,2023-09-13
JOHOR,Segamat,3:00PM,72**,2023-09-13
JOHOR,Batu Pahat,3:00PM,64**,2023-09-13
JOHOR,Kluang,3:00PM,67**,2023-09-13
JOHOR,Larkin,3:00PM,88**,2023-09-13
JOHOR,Pasir Gudang,3:00PM,88**,2023-09-13
JOHOR,Pengerang,3:00PM,62**,2023-09-13
JOHOR,Kota Tinggi,3:00PM,64**,2023-09-13
JOHOR,Tangkak,3:00PM,68**,2023-09-13
PAHANG,Rompin,3:00PM,52**,2023-09-13
PAHANG,Temerloh,3:00PM,67**,2023-09-13
PAHANG,Jerantut,3:00PM,57**,2023-09-13
PAHANG,Indera Mahkota Kuantan,3:00PM,73**,2023-09-13
PAHANG,Balok Baru Kuantan,3:00PM,64**,2023-09-13
TERENGGANU,Kemaman,3:00PM,61**,2023-09-13
TERENGGANU,Paka,3:00PM,61**,2023-09-13
TERENGGANU,Kuala Terengganu,3:00PM,56**,2023-09-13
TERENGGANU,Besut,3:00PM,36**,2023-09-13
KELANTAN,Tanah Merah,3:00PM,34**,2023-09-13
KELANTAN,Kota Bharu,3:00PM,52**,2023-09-13
SABAH,Tawau,3:00PM,39**,2023-09-13
SABAH,Sandakan,3:00PM,35**,2023-09-13
SABAH,Kota Kinabalu,3:00PM,34**,2023-09-13
SABAH,Kimanis,3:00PM,10**,2023-09-13
SABAH,Keningau,3:00PM,42**,2023-09-13
W.P. LABUAN,Labuan,3:00PM,33**,2023-09-13
SARAWAK,Limbang,3:00PM,28**,2023-09-13
SARAWAK,ILP Miri,3:00PM,27**,2023-09-13
SARAWAK,Miri,3:00PM,31**,2023-09-13
SARAWAK,Samalaju,3:00PM,55**,2023-09-13
SARAWAK,Bintulu,3:00PM,55**,2023-09-13
SARAWAK,Mukah,3:00PM,48**,2023-09-13
SARAWAK,Kapit,3:00PM,50**,2023-09-13
SARAWAK,Sibu,3:00PM,42**,2023-09-13
