date,price
2023-01-01,PH
2023-01-02,NT
2023-01-03,4165.5
2023-01-04,4139.0
2023-01-05,4044.0
2023-01-06,4045.0
2023-01-07,NT
2023-01-08,PH
2023-01-09,3936.5
2023-01-10,3862.0
2023-01-11,3820.0
2023-01-12,3849.5
2023-01-13,3836.0
2023-01-14,NT
2023-01-15,PH
2023-01-16,3835.0
2023-01-17,3826.5
2023-01-18,3849.0
2023-01-19,3859.5
2023-01-20,3895.0
2023-01-21,NT
2023-01-22,PH
2023-01-23,PH
2023-01-24,PH
2023-01-25,NT
2023-01-26,3746.5
2023-01-27,3836.0
2023-01-28,NT
2023-01-29,PH
2023-01-30,3901.5
2023-01-31,NT
2023-02-01,NT
2023-02-02,3691.0
2023-02-03,3736.5
2023-02-04,NT
2023-02-05,PH
2023-02-06,NT
2023-02-07,3881.5
2023-02-08,3886.0
2023-02-09,3869.0
2023-02-10,3880.5
2023-02-11,NT
2023-02-12,PH
2023-02-13,3886.5
2023-02-14,3906.0
2023-02-15,3907.5
2023-02-16,3998.0
2023-02-17,4085.5
2023-02-18,NT
2023-02-19,PH
2023-02-20,4125.5
2023-02-21,4130.0
2023-02-22,4161.0
2023-02-23,4193.0
2023-02-24,4161.0
2023-02-25,NT
2023-02-26,PH
2023-02-27,4150.0
2023-02-28,NT
2023-03-01,4176.0
2023-03-02,4252.0
2023-03-03,4324.5
2023-03-04,NT
2023-03-05,PH
2023-03-06,4249.5
2023-03-07,4305.5
2023-03-08,4224.5
2023-03-09,4236.5
2023-03-10,4251.0
2023-03-11,NT
2023-03-12,PH
2023-03-13,4198.0
2023-03-14,4154.5
2023-03-15,4184.0
2023-03-16,4156.0
2023-03-17,4204.5
2023-03-18,NT
2023-03-19,PH
2023-03-20,4096.5
2023-03-21,4089.5
2023-03-22,3965.0
2023-03-23,3898.0
2023-03-24,3921.5
2023-03-25,NT
2023-03-26,PH
2023-03-27,3923.5
2023-03-28,4015.0
2023-03-29,4080.0
2023-03-30,4151.0
2023-03-31,NT
2023-04-01,NT
2023-04-02,PH
2023-04-03,4209.0
2023-04-04,4227.0
2023-04-05,4232.5
2023-04-06,4212.5
2023-04-07,4238.0
2023-04-08,NT
2023-04-09,PH
2023-04-10,4293.0
2023-04-11,4275.5
2023-04-12,4229.5
2023-04-13,4159.0
2023-04-14,4135.5
2023-04-15,NT
2023-04-16,PH
2023-04-17,4153.0
2023-04-18,4172.0
2023-04-19,4257.0
2023-04-20,4192.5
2023-04-21,PH
2023-04-22,NT
2023-04-23,PH
2023-04-24,PH
2023-04-25,4098.5
2023-04-26,4154.0
2023-04-27,4123.5
2023-04-28,4200.0
2023-04-29,NT
2023-04-30,PH
2023-05-01,PH
2023-05-02,4088.5
2023-05-03,4076.0
2023-05-04,PH
2023-05-05,4117.0
2023-05-06,NT
2023-05-07,PH
2023-05-08,4107.0
2023-05-09,3965.5
2023-05-10,3993.5
2023-05-11,3856.5
2023-05-12,3809.0
2023-05-13,NT
2023-05-14,PH
2023-05-15,3826.0
2023-05-16,3755.5
2023-05-17,3714.0
2023-05-18,3691.0
2023-05-19,3708.5
2023-05-20,NT
2023-05-21,PH
2023-05-22,3680.5
2023-05-23,3610.5
2023-05-24,3501.0
2023-05-25,3539.5
2023-05-26,3578.0
2023-05-27,NT
2023-05-28,PH
2023-05-29,3569.0
2023-05-30,3496.5
2023-05-31,NT
2023-06-01,3331.0
2023-06-02,3384.5
2023-06-03,NT
2023-06-04,PH
2023-06-05,PH
2023-06-06,3389.0
2023-06-07,3376.5
2023-06-08,3359.5
2023-06-09,3417.5
2023-06-10,NT
2023-06-11,PH
2023-06-12,3356.0
2023-06-13,3408.0
2023-06-14,3494.5
2023-06-15,3502.0
2023-06-16,3740.0
2023-06-17,NT
2023-06-18,PH
2023-06-19,3741.5
2023-06-20,3775.5
2023-06-21,3628.5
2023-06-22,3616.0
2023-06-23,3641.0
2023-06-24,NT
2023-06-25,PH
2023-06-26,3682.5
2023-06-27,3709.0
2023-06-28,3730.0
2023-06-29,PH
2023-06-30,NT
2023-07-01,NT
2023-07-02,PH
2023-07-03,3902.5
2023-07-04,3863.0
2023-07-05,3827.5
2023-07-06,3832.5
2023-07-07,3794.0
2023-07-08,NT
2023-07-09,PH
2023-07-10,3822.0
2023-07-11,3861.0
2023-07-12,3855.0
2023-07-13,3800.0
2023-07-14,3841.5
2023-07-15,NT
2023-07-16,PH
2023-07-17,3866.0
2023-07-18,3868.5
2023-07-19,PH
2023-07-20,3940.0
2023-07-21,3991.0
2023-07-22,NT
2023-07-23,PH
2023-07-24,3991.5
2023-07-25,4061.5
2023-07-26,4016.0
2023-07-27,3951.0
2023-07-28,3833.0
2023-07-29,NT
2023-07-30,PH
2023-07-31,3802.0
2023-08-01,3802.0
2023-08-02,3846.5
2023-08-03,3797.0
2023-08-04,3824.5
2023-08-05,NT
2023-08-06,PH
2023-08-07,3798.5
2023-08-08,3688.0
2023-08-09,3723.5
2023-08-10,3747.0
2023-08-11,3732.5
2023-08-12,NT
2023-08-13,PH
2023-08-14,3702.5
2023-08-15,3784.0
2023-08-16,3794.5
2023-08-17,3856.0
2023-08-18,3849.0
2023-08-19,NT
2023-08-20,PH
2023-08-21,3900.0
2023-08-22,3862.0
2023-08-23,3808.0
2023-08-24,3815.5
2023-08-25,3804.0
2023-08-26,NT
2023-08-27,PH
2023-08-28,3814.0
2023-08-29,3730.0
2023-08-30,3797.5
2023-08-31,PH
2023-09-01,3888.5
2023-09-02,NT
2023-09-03,PH
2023-09-04,3870.5
2023-09-05,3844.5
2023-09-06,3798.0
2023-09-07,3753.5
2023-09-08,3749.5
2023-09-09,NT
2023-09-10,PH
2023-09-11,3703.5
2023-09-12,3643.5
2023-09-13,3644.0
2023-09-14,3694.5
2023-09-15,3722.5
2023-09-16,NT
2023-09-17,PH
2023-09-18,3694.0
2023-09-19,3630.0
2023-09-20,3689.5
2023-09-21,3632.5
2023-09-22,3643.5
2023-09-23,NT
2023-09-24,PH
2023-09-25,3674.0
2023-09-26,3637.0
2023-09-27,3662.5
2023-09-28,PH
2023-09-29,3687.0
2023-09-30,NT
2023-10-01,PH
2023-10-02,3656.0
2023-10-03,3668.0
2023-10-04,3660.0
2023-10-05,3622.0
2023-10-06,3579.5
2023-10-07,NT
2023-10-08,PH
2023-10-09,3613.0
2023-10-10,3548.0
2023-10-11,3562.0
2023-10-12,3563.0
2023-10-13,3632.5
2023-10-14,NT
2023-10-15,PH
2023-10-16,3707.5
2023-10-17,3710.0
2023-10-18,3737.0
2023-10-19,3753.5
2023-10-20,3684.5
2023-10-21,NT
2023-10-22,PH
2023-10-23,3675.5
2023-10-24,3619.0
2023-10-25,3590.0
2023-10-26,3634.5
2023-10-27,3637.0
2023-10-28,NT
2023-10-29,PH
2023-10-30,3630.0
2023-10-31,3560.0
2023-11-01,3606.0
2023-11-02,3651.5
2023-11-03,3662.5
2023-11-04,NT
2023-11-05,PH
2023-11-06,3628.0
2023-11-07,3643.0
2023-11-08,3649.0
2023-11-09,3657.5
2023-11-10,3671.0
2023-11-11,NT
2023-11-12,PH
2023-11-13,PH
2023-11-14,3730.0
2023-11-15,3801.0
2023-11-16,3845.0
2023-11-17,3800.0
2023-11-18,NT
2023-11-19,PH
2023-11-20,3777.0
2023-11-21,3830.5
2023-11-22,3838.5
2023-11-23,3826.5
2023-11-24,3790.0
2023-11-25,NT
2023-11-26,PH
2023-11-27,3739.0
2023-11-28,3749.5
2023-11-29,3718.5
2023-11-30,NT
2023-12-01,3721.0
2023-12-02,NT
2023-12-03,PH
2023-12-04,3688.0
2023-12-05,3654.5
2023-12-06,3581.0
2023-12-07,3595.0
2023-12-08,3632.0
2023-12-09,NT
2023-12-10,PH
2023-12-11,3634.5
2023-12-12,3640.5
2023-12-13,3631.5
2023-12-14,3623.0
2023-12-15,3630.0
2023-12-16,NT
2023-12-17,PH
2023-12-18,3655.0
2023-12-19,3703.0
2023-12-20,3708.5
2023-12-21,3686.5
2023-12-22,3663.0
2023-12-23,NT
2023-12-24,PH
2023-12-25,PH
2023-12-26,3698.0
2023-12-27,3716.5
2023-12-28,NT
2023-12-29,NT
2023-12-30,NT
2023-12-31,PH
